parent,name,scientific,rank,image_url
Trugratten,Coruro,Spalacopus cyanus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Cururo_en_el_Parque_natural_G%C3%B3mez_Carre%C3%B1o.jpg/100px-Cururo_en_el_Parque_natural_G%C3%B3mez_Carre%C3%B1o.jpg
Trugratten,Strauchratten,Octodon,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Degu_eating_a_piece_of_dried_banana.jpg/100px-Degu_eating_a_piece_of_dried_banana.jpg
Strauchratten,Gewöhnlicher Degu,Octodon degus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Degu_eating_a_piece_of_dried_banana.jpg/100px-Degu_eating_a_piece_of_dried_banana.jpg
Nagetiere,Mäuseverwandte,Myomorpha,Unterordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/WildRat.jpg/100px-WildRat.jpg
Mäuseverwandte,Wühler,Cricetidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Bisamratte_auf_Strand.jpg/100px-Bisamratte_auf_Strand.jpg
Wühler,Wühlmäuse,Arvicolinae,Unterfamilie,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Bank_vole_%28Myodes_glareolus%29%2C_For%C3%AAt_de_Soignes%2C_Brussels_%2834051325785%29.jpg/100px-Bank_vole_%28Myodes_glareolus%29%2C_For%C3%AAt_de_Soignes%2C_Brussels_%2834051325785%29.jpg
Wühlmäuse,Feldmaus,Microtus arvalis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Feldmaus_Microtus_arvalis.jpg/100px-Feldmaus_Microtus_arvalis.jpg
Wühlmäuse,Ostschermaus,Arvicola amphibius,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Arvicola_terrestris.jpg/100px-Arvicola_terrestris.jpg
Wühlmäuse,Bisamratte,Ondatra zibethicus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Bisamratte_auf_Strand.jpg/100px-Bisamratte_auf_Strand.jpg
Wühlmäuse,Rötelmaus,Myodes glareolus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Rotelmaus-Frontal_ZK1_02496_c_2k4.jpg/100px-Rotelmaus-Frontal_ZK1_02496_c_2k4.jpg
